GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jhdemo,com.ynov.jh.demo.biblio.rest,BiblioRessource,123,10,4,0,22,4,7,1,5,1
Jhdemo,com.ynov.jh.demo.config.audit,AuditEventConverter,42,84,8,8,10,19,7,6,1,4
Jhdemo,com.ynov.jh.demo.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
Jhdemo,com.ynov.jh.demo.config,ApplicationProperties,0,3,0,0,0,1,0,1,0,1
Jhdemo,com.ynov.jh.demo.config,CacheConfiguration,8,265,0,2,4,44,2,8,2,7
Jhdemo,com.ynov.jh.demo.config,LocaleConfiguration,0,24,0,0,0,8,0,3,0,3
Jhdemo,com.ynov.jh.demo.config,LiquibaseConfiguration,4,91,1,1,1,21,1,2,0,2
Jhdemo,com.ynov.jh.demo.config,LoggingConfiguration,11,51,5,5,3,14,5,1,0,1
Jhdemo,com.ynov.jh.demo.config,StaticResourcesWebConfiguration,70,0,0,0,13,0,7,0,7,0
Jhdemo,com.ynov.jh.demo.config,JacksonConfiguration,0,23,0,0,0,6,0,6,0,6
Jhdemo,com.ynov.jh.demo.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
Jhdemo,com.ynov.jh.demo.config,CloudDatabaseConfiguration,15,0,0,0,4,0,2,0,2,0
Jhdemo,com.ynov.jh.demo.config,AsyncConfiguration,4,46,0,0,1,11,1,2,1,2
Jhdemo,com.ynov.jh.demo.config,WebConfigurer,50,141,10,6,11,33,9,6,1,6
Jhdemo,com.ynov.jh.demo.config,SecurityConfiguration,0,212,0,0,0,52,0,5,0,5
Jhdemo,com.ynov.jh.demo.config,DatabaseConfiguration,0,7,0,0,0,2,0,1,0,1
Jhdemo,com.ynov.jh.demo.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
Jhdemo,com.ynov.jh.demo.security,UserNotActivatedException,5,4,0,0,2,2,1,1,1,1
Jhdemo,com.ynov.jh.demo.security,SecurityUtils,67,22,11,3,15,7,12,3,6,2
Jhdemo,com.ynov.jh.demo.security,SpringSecurityAuditorAware,0,9,0,0,0,2,0,2,0,2
Jhdemo,com.ynov.jh.demo.security,DomainUserDetailsService,20,111,0,4,0,20,2,8,2,6
Jhdemo,com.ynov.jh.demo.biblio.service.impl,BiblioServiceImpl,3,0,0,0,1,0,1,0,1,0
Jhdemo,com.ynov.jh.demo.service,EmailAlreadyUsedException,0,4,0,0,0,2,0,1,0,1
Jhdemo,com.ynov.jh.demo.service,InvalidPasswordException,0,4,0,0,0,2,0,1,0,1
Jhdemo,com.ynov.jh.demo.service,AuditEventService,0,79,0,0,0,19,0,6,0,6
Jhdemo,com.ynov.jh.demo.service,UserService,4,612,7,15,1,163,7,32,0,28
Jhdemo,com.ynov.jh.demo.service,MailService,7,174,1,1,2,39,1,6,0,6
